Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ašti maṭēni qṭufkadi min zaraʕki,"Ḳal ""Ehe ḥăssădīnántă.""","He said ""At those harvesters.""",,DT_X_abu_hasan:06:02.6,0:04.3,6:02.6,6:06.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_026-06_069].wav,23980930-1
ama šindom aburke danabir.,"Ḳal ""Ắmă cíndōm dhắnăbūr.""","he said ""I cut off thy tail""",,DT_X_abu_hasan:04:11.9,0:02.4,4:11.9,4:14.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_119-04_143].wav,63386517-1
"širda ""tōraske kēkē manīror hnēna ḥašīšma?""","""Kḗkă, gṓrū, wēsrū́ri ḗrăbiʕēma?""","he said ""Why, oh though Ox, dost thou stay in this spring-grass""",,DT_X_abu_hasan:00:40.3,0:02.9,0:40.3,0:43.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_403-00_432].wav,43664475-1
"baʕd di dīs nimer bkarahra,","Mī́ndă ḥálōs nimr, dī dīs ibkărwa͡iánki mra. ",In two days the panther died of hunger,,DT_X_abu_hasan:04:45.6,0:03.4,4:45.6,4:48.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_456-04_489].wav,17490235-1
ama kunt biddī qumnam ehnēna.,"Wḗsră, măndṓsis gṓru des dīs, ","He stayed, left the ox ten days",,DT_X_abu_hasan:00:52.2,0:02.1,0:52.2,0:54.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_522-00_543].wav,75458139-1
abu ḥasan qēra giš šmaryan,Ắbu Ḥasăn nī mắndă mnḗšsăn wắlă cmắriăk. ,Abu Ḥasan did not leave a single chicken of them.,,DT_X_abu_hasan:05:07.1,0:02.4,5:07.1,5:09.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_071-05_095].wav,54582693-1
ū čirda nimirki wēštī bṣāṭēka.,"wēšlá͡urdă nímrăs ătústă, ",and caused the panther to sit on it,,DT_X_abu_hasan:04:32.4,0:02.2,4:32.4,4:34.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_324-04_346].wav,62412957-1
"ama biddī pyam illi mīndos ihi kadždži.""","ílli kắjjiăki štắldik kúpăki pánik.""","that which a woman is carrying in a jug of water.ː""",,DT_X_abu_hasan:06:32.9,0:03.7,6:32.9,6:36.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_329-06_366].wav,26165648-1
"qēra māsyas, ",(ḳārdosis),ate it,,DT_X_abu_hasan:02:56.6,0:01.0,2:56.6,2:57.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_566-02_575].wav,27893292-1
"qrara pēnda sēfas,","Mīndă ḥálōs ḳláră, pḗndă ḗtirwali","The bedawi betook himself, seized the sword, ",,DT_X_abu_hasan:05:41.8,0:01.7,5:41.8,5:43.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_418-05_434].wav,89427766-1
"nimir širda abuske ama mīnamri ya abu ḥasan,","ḳal ""Mīndṓmir, Ắbū Ḥắsăn.""","He said ""I will seize thee, Abu Ḥasan.""",,DT_X_abu_hasan:03:55.6,0:02.3,3:55.6,3:57.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_556-03_579].wav,81080340-1
"""ama biddī hōšam hāž ū baṭṭilhōšam qumnam ū qaftam.""","""Ắmă bíddi jam ḥăjjṓcăm u tăwắb-ḥṓcăm ḥărắmtă.""","""I want to go to the haj and cease from sin""",,DT_X_abu_hasan:05:25.2,0:03.9,5:25.2,5:29.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_252-05_291].wav,12256521-1
žildosan šałasma.,cálăsmă, in a pit,,DT_X_abu_hasan:02:45.7,0:01.7,2:45.7,2:47.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_457-02_474].wav,70168085-1
"nanda bāyis ū putrēs, ",Nádi-kerdă bá͡iis u potrés,"He called his wife and children,",,DT_X_abu_hasan:01:51.6,0:01.5,1:51.6,1:53.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_516-01_530].wav,17389457-1
ila-hu nimer kwira šāłasma.,wínni ku͡irék cálăs-mănjísmă. ,and hefell into the middle of the well.,,DT_X_abu_hasan:04:34.6,0:02.7,4:34.6,4:37.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_346-04_373].wav,30024589-1
"""atu šbiqkedor bēnīsan.""","""Atū illi iktōr făsádi""","""It is he who roused the quarrel"" (said by Abu Ḥasan)",,DT_X_abu_hasan:02:15.3,0:02.5,2:15.3,2:17.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_153-02_178].wav,40088133-1
"""kate-ta balta ya Abu Ḥasan?""","""Ka fū́rwē, Ắbū Hắsăn?""","he said, ""where is the coat, Abu Ḥasan?""",,DT_X_abu_hasan:03:03.0,0:02.7,3:03.0,3:05.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_030-03_057].wav,65380934-1
"abu ḥasan nasra, ",Nắsră Ắbū Ḥắsăn ,Abu Ḥasan fled,,DT_X_abu_hasan:03:08.7,0:01.4,3:08.7,3:10.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_087-03_101].wav,34390868-1
"nuṭṭahra ū kilda bara,",šibră nimr min cálăski winni,"leapt from the well,",,DT_X_abu_hasan:04:39.3,0:01.7,4:39.3,4:41.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_393-04_410].wav,06488965-1
abu ḥasan gara nimirke,Míndă ḥálos u gắră Ắbu Ḥắsăn nimrăskắră,Abu Ḥasan betook himself and went to the panther. ,,DT_X_abu_hasan:00:31.8,0:01.9,0:31.8,0:33.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_318-00_337].wav,21726228-1
"dinēsan mre, tōr ū nimer.","Mínde ḥalṓsăn diyḗni, mre, gṓrū u nimr.","The two betook themselves and died, the ox and the panther.",,DT_X_abu_hasan:01:46.6,0:03.2,1:46.6,1:49.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_466-01_498].wav,24846222-1
kān ikaki ṭāṭi.,Ắstă yikáki ṭaṭi,There was a fellah,,DT_X_abu_hasan:00:00.0,0:01.5,0:00.0,0:01.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_000-00_015].wav,64655478-1
"nimer nanda abuske arbaʕ xurfān,","mī́ndă ḥálōs nimr, nắndă ăbŭskắra štar bắkră.","The panther betook himself, brought four sheep to him.",,DT_X_abu_hasan:02:38.1,0:02.4,2:38.1,2:40.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_381-02_405].wav,82294039-1
xissahrēk gēna dbīḥa.,"Ḳal ""Mángări bắkrăk gḗnă.""","He said "" there lacks another sheep""",,DT_X_abu_hasan:02:51.1,0:02.1,2:51.1,2:53.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_511-02_531].wav,95522205-1
ʕaṣfur šari abuske kehni?,"Ḳal ""Kḗta?""","She said ""At what?""",,DT_X_abu_hasan:06:00.4,0:02.2,6:00.4,6:02.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_004-06_026].wav,10254958-1
"nimer ēra abuske, ",Ắră ăbŭskắră nimr.,The panther came to him,,DT_X_abu_hasan:03:01.6,0:01.4,3:01.6,3:03.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_016-03_030].wav,50325526-1
na qumna putrēm!,ni ḳār potrḗm,Don't eat my childrenǃ,,DT_X_abu_hasan:05:56.2,0:01.8,5:56.2,5:58.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_562-05_580].wav,95548624-1
tōr laheda ḥašīšī dirgēk ū gara. ,"Gṓrū mī́ndă ḥálos, rá͡ură. Láherdă ḗgăsăs illi kildḗk. ",The ox betook himself and went. He saw long grass. ,,DT_X_abu_hasan:00:16.1,0:04.8,0:16.1,0:20.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_161-00_208].wav,52494318-1
ū gištanesan nhe’ absanke danabe.,giš ăre ;ăherdṓssăn nimr giš ʕắzărne. ,"and they all came, the panther saw that they were all tailless. ",,DT_X_abu_hasan:04:20.2,0:02.0,4:20.2,4:22.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_202-04_222].wav,17544814-1
"dža xarrifhōšī wāšīs.""","ja, lắhăm gắlnă-ker wăšī́s.""","go, let me see [thee] speak with him.""",,DT_X_abu_hasan:01:24.2,0:01.7,1:24.2,1:25.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_242-01_259].wav,24598253-1
abu ḥasan ,abu ḥasan,abu ḥasan,,DT_X_abu_hasan:01:56.4,0:00.9,1:56.4,1:57.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_564-01_573].wav,09008529-1
abu ḥasan širda:,"Mī́ndă ḥálōs Ắbū Ḥắsăn, ḳal","Abu Ḥasan betook himself, he said",,DT_X_abu_hasan:05:23.9,0:01.3,5:23.9,5:25.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_239-05_252].wav,12882583-1
nimer štirda ū ,Ắră min hnṓna.,The panther came from there,,DT_X_abu_hasan:04:37.3,0:02.0,4:37.3,4:39.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_373-04_393].wav,81194345-1
waqt ma itme qāsi ama biddī banam danabēran.,"Ḳal ""Mănimrăneʔ ḳúmnăs ḡa͡ir tăm-bắnim pin-jikḗrăn.""","he said ""I will not suffer you to eat unless I bind your tails""",,DT_X_abu_hasan:03:40.5,0:03.3,3:40.5,3:43.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_405-03_438].wav,74925389-1
"džuwre rowre,","Ắre kắjjie, rore",Those women wept,,DT_X_abu_hasan:05:20.2,0:02.0,5:20.2,5:22.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_202-05_222].wav,07466698-1
"nimer pardosis ū širda abuske,","Mīndṓsis nimr, ḳal",The panther took him and saidː,,DT_X_abu_hasan:02:09.3,0:02.5,2:09.3,2:11.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_093-02_118].wav,43597492-1
ū ama iza lakamri džanamri.,"jăndṓmur.""","I will know thee.""",,DT_X_abu_hasan:03:24.2,0:03.4,3:24.2,3:27.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_242-03_276].wav,19686498-1
atu maršēk ū nimer qumnarri.,mắrēk u ḳắri.,thou wilt die and she will eat thee. ,,DT_X_abu_hasan:01:12.0,0:01.9,1:12.0,1:13.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_120-01_139].wav,86024716-1
qēra ʕineb.,(ḳắra ʕắnăb),(ate grapes),,DT_X_abu_hasan:03:33.5,0:01.0,3:33.5,3:34.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_335-03_345].wav,40802989-1
xulda nimer tōraske,"Mīndă ḥálos nimr, u xúlda gōrată","The panther went down to the ox,",,DT_X_abu_hasan:01:34.6,0:03.4,1:34.6,1:38.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_346-01_380].wav,86010970-1
"abu ḥasan širda abuske kē karēk hnēna ya tōr, ",círdă ăbŭskắră,he (Abu Ḥasan) said to himː ,,DT_X_abu_hasan:00:25.4,0:02.8,0:25.4,0:28.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_254-00_282].wav,44415112-1
saʕlabi.,"Mī́ndă ḥálos Ắbū Ḥắsăn, círdă ăbŭskắră",Abu Ḥasan betook himself,,DT_X_abu_hasan:00:24.6,0:00.8,0:24.6,0:25.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_246-00_254].wav,56518174-1
sabaḥtan ta laham tōras biddī maramis ihi šaryama.,"Ḳāl ""Săbáḥtăn lăherdṓmur, ya ŭhŭ gṓrū ḗderiămă, mărdṓmur ḗciriămă.""","He said ""In the morning if I see thee, oh thou ox, in this place, I will slay thee with this knife.""",,DT_X_abu_hasan:00:12.7,0:03.4,0:12.7,0:16.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_127-00_161].wav,84153330-1
"sallēsan kānu bardēni,",Bărdḗni slále. ,Their baskets were full,,DT_X_abu_hasan:04:54.0,0:02.2,4:54.0,4:56.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_540-04_562].wav,09914799-1
site ʕind šālaski,Síte cálăstă. ,They slept by the well.  ,,DT_X_abu_hasan:04:59.9,0:02.3,4:59.9,5:02.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_599-05_022].wav,78292434-1
"sin la awar aburke nimer,",ārṓsir nimr... lúḥră-ker íkīr ăbus.,"If the panther comes to thee, redden thy eye upon her",,DT_X_abu_hasan:01:13.9,0:03.8,1:13.9,1:17.7,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_139-01_177].wav,58751061-1
nimer gēna gara min hnon.,răwáḥră nimr.,the panther departed.,,DT_X_abu_hasan:03:29.2,0:01.8,3:29.2,3:31.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_292-03_310].wav,74488794-1
"""ama tirsalahromi, biddī pyam.","Ḳal ""Tirăsálʕ ḥrṓmi, mángămi pī́ăm","he said ""I am thirsty, I want to drink",,DT_X_abu_hasan:06:29.9,0:03.1,6:29.9,6:32.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_299-06_329].wav,60460787-1
"abu ḥasan gara nimirke,","Mī́ndă ḥálōs Ắbū Ḥắsăn, gắră nimrắskă;",Abu Ḥasan betook himself and went to the panther. ,,DT_X_abu_hasan:03:53.6,0:02.0,3:53.6,3:55.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_536-03_556].wav,56777683-1
ēra abu ḥasan qēra dīnēsan.,"Štírdă min hnṓnă Ắbū Ḥắsăn, gắră ḳắra diyēnímmă.","Abu Ḥasan arose from there, went to eat the two.",,DT_X_abu_hasan:01:49.8,0:01.8,1:49.8,1:51.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_498-01_516].wav,47893340-1
gere džuwrēni knad šmaryēni,Ắšte kăjjiḗni āréndi tă-kúnănd cmắriăn. ,There were women going to sell chickens. ,,DT_X_abu_hasan:04:51.6,0:02.4,4:51.6,4:54.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_516-04_540].wav,17928078-1
"atu fumnēs qrūnērma.""","u fúmnēs ḳurnū́rma""","and strike her with your horn (to kill her)""",,DT_X_abu_hasan:01:17.7,0:02.5,1:17.7,1:20.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_177-01_202].wav,66843170-1
nan amake arbaʕ (xurfān),"năn ămákă štar bắkră gắrdă,","fetch me four good sheep,",,DT_X_abu_hasan:02:30.0,0:01.9,2:30.0,2:31.9,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_300-02_319].wav,65670773-1
gēna nimer gazidosis,Féros nimr gḗnă ẃinni stuḥ-kerdōsi. ,The panther struck him also and split him.,,DT_X_abu_hasan:01:44.1,0:02.5,1:44.1,1:46.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_441-01_466].wav,78265546-1
ila-hu ērēk kažžaki hēyma sēfasma biddo šnar siryis ʕaṣfurki;,"Ắră yikák min hnṓnă, ắră tă-fúmnăr ʕasfúr menjélmă;","One man came from there, he came to strike the bird with the sickle;",,DT_X_abu_hasan:06:14.3,0:05.1,6:14.3,6:19.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_143-06_194].wav,31964033-1
nimer rasrosis ,rắsrōs nimr,the panther followed him,,DT_X_abu_hasan:03:10.1,0:02.0,3:10.1,3:12.1,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_101-03_121].wav,31572780-1
"""mandor tōras hayma ḥašīšma,","""Ắtū mắndōr gṓrwi răbiʕḗmă;","""Thou hast left the ox in the spring-grass;",,DT_X_abu_hasan:01:22.3,0:01.9,1:22.3,1:24.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_223-01_242].wav,99093889-1
na kador amake balṭa,"nī kérdōr fū́rwē ămăkắră.""","and dist not make the sheepskin coat for me""",,DT_X_abu_hasan:04:02.1,0:02.3,4:02.1,4:04.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_021-04_044].wav,02135766-1
 abu ḥasan xazra bsuṭahra.,"Xắzră Ắbū Ḥắsăn, ibsū́ṭ-ḥră. ","Abu Ḥasan laughed, he was contented.",,DT_X_abu_hasan:06:22.1,0:02.9,6:22.1,6:25.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_221-06_250].wav,86877027-1
"pandži ū putrēs,","pánjī u potrḗs,",he and his children.,,DT_X_abu_hasan:02:57.5,0:01.4,2:57.5,2:59.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_575-02_590].wav,07551831-1
manīra min ɣēr danab.,"intá-kerdă ḥálōs Ắbū Ḥắsăn, cnī́ră dhắnăbos nimrăs-xăstásmă. Štírdă min hnṓna Ắbū Ḥắsăn, mắndă ʕắzăr. ",his tail was cut in the paw of the panther. Abu Ḥasan rose from there and remained tailless.,,DT_X_abu_hasan:03:20.5,0:02.0,3:20.5,3:22.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_205-03_225].wav,79805936-1
"širda abuske: ""atu hrori.""","Ḳal ""Ắtū hrū́ri.""","He said ""It is thee""",,DT_X_abu_hasan:04:05.9,0:02.5,4:05.9,4:08.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[04_059-04_084].wav,14115479-1
fēra abu ḥasanaske ila-hu qtaʕkadēk danabis dawāyki.,u fḗră ḗfeni Ăbū-Ḥắsănăs wínni cindḗk dhắnăbos dăwá͡iăk. ,"And struck Abu Ḥasan thus, and cut the tail of his camel. ",,DT_X_abu_hasan:05:43.4,0:04.8,5:43.4,5:48.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_434-05_483].wav,50764550-1
nadikeda qarāibēs qēre xaran.,"nádi-kerdă ḳa͡umēs giš. Ḳárw xárăn, mī́nde ḥalḗsăn u gắre. ",called his people (to eat the bones),,DT_X_abu_hasan:01:57.3,0:02.9,1:57.3,2:00.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_573-02_002].wav,41293265-1
"hassaʕ atu min ɣēr danabi,","Círdă nimr ăbúska, ḳal ""Ắtū, Ắbu Ḥắsăn ʕắzăr-ḥrōr,","The panther said to him, ""Thou art tailless, Abu Ḥasan, ",,DT_X_abu_hasan:03:22.5,0:01.7,3:22.5,3:24.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_225-03_242].wav,83876952-1
"qēra māsyosan, ","Ḳắră másiăn,",He ate the flesh,,DT_X_abu_hasan:02:40.5,0:01.4,2:40.5,2:42.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_405-02_420].wav,56554340-1
abu ḥasan šarīra.,"Cărī́ră Ắbŭ Ḥắsăn,",Abu Ḥasan was hidden,,DT_X_abu_hasan:00:37.7,0:01.6,0:37.7,0:39.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_377-00_393].wav,14701470-1
ēra qumnar putrēs ʕaṣfurki.,Ắră min hnṓnă tă-kúmnăr potrḗs.,he came from there to eat its chilren,,DT_X_abu_hasan:05:53.6,0:02.6,5:53.6,5:56.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[05_536-05_562].wav,71855317-1
nimer nanda gēna dbīḥak (abu ḥasanaske),Nắndă ăbŭskắră nimr bắkrăk.,The panther brought him a cheep,,DT_X_abu_hasan:02:53.1,0:02.0,2:53.1,2:55.2,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_531-02_552].wav,29364891-1
"širda tōr biddo marir.""","li-lăherdṓsir ḡa͡ir in mắrărir.""","so that if he sees you he will want to kill you""",,DT_X_abu_hasan:01:30.3,0:04.4,1:30.3,1:34.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_303-01_346].wav,66960769-1
"ta awar nimis bagari xarēr""","Ihi déri nímrăs-derik; sắ'ă á͡uări, fḗri, bắgări dlaʕur""","This is a panther's place, the hour she comes she will strike and break thy ribs""",,DT_X_abu_hasan:00:29.8,0:02.0,0:29.8,0:31.8,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_298-00_318].wav,42324658-1
abu ḥasan bandosan,Băndṓssăn Ắbū Ḥắsăn,Abu Ḥasan bound them ,,DT_X_abu_hasan:03:43.8,0:01.7,3:43.8,3:45.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_438-03_455].wav,24279648-1
"ū gari biddha mīnar ʕaṣfurī,",u dá͡uri tă-mī́năr ʕăsfū́ri.,and ran to take the bird.,,DT_X_abu_hasan:06:41.5,0:01.5,6:41.5,6:43.0,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_415-06_430].wav,16565440-1
"kadždži xlawirdi garya,","Tī́rdik ikpḗs erhṓnă,","The woman set down her jugs there,",,DT_X_abu_hasan:06:39.3,0:02.2,6:39.3,6:41.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[06_393-06_415].wav,39093796-1
nigre mandžisma mɣārēki,"Mīndă ḥálōs, gắră, níngări ḗmŭḡărēmă.","He betook himself and went, he enters a cave.",,DT_X_abu_hasan:03:12.1,0:02.3,3:12.1,3:14.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_121-03_144].wav,22139996-1
(abu ḥasan) falitkada ḥālis min nimirki ū nasra,"intá-kerdă ḥálōs Ắbū Ḥắsăn, ","Abu Ḥasan pulled himself (and escaped),",,DT_X_abu_hasan:03:16.7,0:03.9,3:16.7,3:20.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_167-03_205].wav,49343351-1
"ēra abuske abu ḥasan,",Ắră ăbu᷅skắră Ắbū Ḥắsăn.,There came to him Abu Ḥasan,,DT_X_abu_hasan:00:22.6,0:01.9,0:22.6,0:24.6,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[00_226-00_246].wav,28060604-1
nadikada ū giš ahalos ēre.,"Fḗră sṓṭăk, giš jămʕătḗs ắre.",He gave a shout (and) all of his people came.,,DT_X_abu_hasan:03:34.5,0:01.9,3:34.5,3:36.4,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_345-03_364].wav,41815921-1
"gara abu ḥasan nimirke,","mī́ndă ḥálōs Ắbū Ḥắsăn, gắră nimrkắră, ḳal","Abu Ḥasan betook himself, went to the panther, said",,DT_X_abu_hasan:01:20.2,0:02.0,1:20.2,1:22.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[01_202-01_223].wav,67857771-1
gara la karemi mindžīs ʕinebi.,"Gắră ékărmăskă, ḳắră ʕắnăb min mnēšī́s. ","Hent to a vineyard, (ate grapes) from it. ",,DT_X_abu_hasan:03:31.0,0:02.5,3:31.0,3:33.5,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[03_310-03_335].wav,98012657-1
"""ama mišš tōri.""","""ắmă nī ḥrṓmi gṓrwi""","""I am not the ox"" (said by Abu Ḥasan)",,DT_X_abu_hasan:02:13.8,0:01.5,2:13.8,2:15.3,DT_X_abu_hasan.wav,DT_X_abu_hasan.eaf,DT_X_abu_hasan[02_138-02_153].wav,43430950-1
